,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,ticker,lastDateFormatted,firstDateFormatted
0,2024-06-30,2024-08-01,1.4,1.35,0.05,3.7037,post-market,AAPL,20240731T2359,20240721T0001
1,2024-03-31,2024-05-02,1.53,1.5,0.03,2,post-market,AAPL,20240501T2359,20240421T0001
2,2023-12-31,2024-02-01,2.18,2.1,0.08,3.8095,post-market,AAPL,20240131T2359,20240121T0001
3,2023-09-30,2023-11-02,1.46,1.39,0.07,5.036,post-market,AAPL,20231101T2359,20231022T0001
4,2023-06-30,2023-08-03,1.26,1.19,0.07,5.8824,post-market,AAPL,20230802T2359,20230723T0001
5,2023-03-31,2023-05-04,1.52,1.43,0.09,6.2937,post-market,AAPL,20230503T2359,20230423T0001
6,2022-12-31,2023-02-02,1.88,1.94,-0.06,-3.0928,post-market,AAPL,20230201T2359,20230122T0001
7,2022-09-30,2022-10-27,1.29,1.27,0.02,1.5748,post-market,AAPL,20221026T2359,20221016T0001
8,2022-06-30,2022-07-28,1.2,1.16,0.04,3.4483,post-market,AAPL,20220727T2359,20220717T0001
9,2022-03-31,2022-04-28,1.52,1.43,0.09,6.2937,post-market,AAPL,20220427T2359,20220417T0001
0,2024-07-31,2024-08-28,0.68,0.63,0.05,7.9365,post-market,NVDA,20240827T2359,20240817T0001
1,2024-04-30,2024-05-22,0.612,0.559,0.053,9.4812,post-market,NVDA,20240521T2359,20240511T0001
2,2024-01-31,2024-02-21,0.516,0.461,0.055,11.9306,post-market,NVDA,20240220T2359,20240210T0001
3,2023-10-31,2023-11-21,0.402,0.336,0.066,19.6429,post-market,NVDA,20231120T2359,20231110T0001
4,2023-07-31,2023-08-23,0.27,0.207,0.063,30.4348,post-market,NVDA,20230822T2359,20230812T0001
5,2023-04-30,2023-05-24,0.109,0.092,0.017,18.4783,post-market,NVDA,20230523T2359,20230513T0001
6,2023-01-31,2023-02-22,0.088,0.081,0.007,8.642,post-market,NVDA,20230221T2359,20230211T0001
7,2022-10-31,2022-11-16,0.058,0.071,-0.013,-18.3099,post-market,NVDA,20221115T2359,20221105T0001
8,2022-07-31,2022-08-24,0.051,0.0499,0.0011,2.2044,post-market,NVDA,20220823T2359,20220813T0001
9,2022-04-30,2022-05-25,0.136,0.13,0.006,4.6154,post-market,NVDA,20220524T2359,20220514T0001
0,2024-06-30,2024-07-30,2.95,2.93,0.02,0.6826,post-market,MSFT,20240729T2359,20240719T0001
1,2024-03-31,2024-04-25,2.94,2.82,0.12,4.2553,post-market,MSFT,20240424T2359,20240414T0001
2,2023-12-31,2024-01-30,2.93,2.78,0.15,5.3957,post-market,MSFT,20240129T2359,20240119T0001
3,2023-09-30,2023-10-24,2.99,2.65,0.34,12.8302,post-market,MSFT,20231023T2359,20231013T0001
4,2023-06-30,2023-07-25,2.69,2.55,0.14,5.4902,post-market,MSFT,20230724T2359,20230714T0001
5,2023-03-31,2023-04-25,2.45,2.23,0.22,9.8655,post-market,MSFT,20230424T2359,20230414T0001
6,2022-12-31,2023-01-24,2.32,2.29,0.03,1.31,post-market,MSFT,20230123T2359,20230113T0001
7,2022-09-30,2022-10-25,2.35,2.3,0.05,2.1739,post-market,MSFT,20221024T2359,20221014T0001
8,2022-06-30,2022-07-26,2.23,2.29,-0.06,-2.6201,post-market,MSFT,20220725T2359,20220715T0001
9,2022-03-31,2022-04-26,2.22,2.19,0.03,1.3699,post-market,MSFT,20220425T2359,20220415T0001
0,2024-07-31,2024-09-05,1.24,1.2,0.04,3.3333,post-market,AVGO,20240904T2359,20240825T0001
1,2024-04-30,2024-06-12,1.096,1.084,0.012,1.107,post-market,AVGO,20240611T2359,20240601T0001
2,2024-01-31,2024-03-07,1.099,1.029,0.07,6.8027,post-market,AVGO,20240306T2359,20240225T0001
3,2023-10-31,2023-12-07,1.106,1.098,0.008,0.7286,post-market,AVGO,20231206T2359,20231126T0001
4,2023-07-31,2023-08-31,1.054,1.042,0.012,1.1516,post-market,AVGO,20230830T2359,20230820T0001
5,2023-04-30,2023-06-01,1.032,1.008,0.024,2.381,post-market,AVGO,20230531T2359,20230521T0001
6,2023-01-31,2023-03-02,1.033,1.01,0.023,2.2772,post-market,AVGO,20230301T2359,20230219T0001
7,2022-10-31,2022-12-08,1.045,1.028,0.017,1.6537,post-market,AVGO,20221207T2359,20221127T0001
8,2022-07-31,2022-09-01,0.973,0.956,0.017,1.7782,post-market,AVGO,20220831T2359,20220821T0001
9,2022-04-30,2022-05-26,0.907,0.871,0.036,4.1332,pre-market,AVGO,20220525T2359,20220515T0001
0,2024-06-30,2024-07-31,5.16,4.73,0.43,9.0909,post-market,META,20240730T2359,20240720T0001
1,2024-03-31,2024-04-24,4.71,4.32,0.39,9.0278,post-market,META,20240423T2359,20240413T0001
2,2023-12-31,2024-02-01,5.33,4.96,0.37,7.4597,post-market,META,20240131T2359,20240121T0001
3,2023-09-30,2023-10-25,4.39,3.63,0.76,20.9366,post-market,META,20231024T2359,20231014T0001
4,2023-06-30,2023-07-26,2.98,2.92,0.06,2.0548,post-market,META,20230725T2359,20230715T0001
5,2023-03-31,2023-04-26,2.2,2.03,0.17,8.3744,post-market,META,20230425T2359,20230415T0001
6,2022-12-31,2023-02-01,1.76,2.22,-0.46,-20.7207,post-market,META,20230131T2359,20230121T0001
7,2022-09-30,2022-10-26,1.64,1.89,-0.25,-13.2275,post-market,META,20221025T2359,20221015T0001
8,2022-06-30,2022-07-27,2.46,2.59,-0.13,-5.0193,post-market,META,20220726T2359,20220716T0001
9,2022-03-31,2022-04-27,2.72,2.56,0.16,6.25,post-market,META,20220426T2359,20220416T0001
0,2024-08-31,2024-09-09,1.39,1.32,0.07,5.303,post-market,ORCL,20240908T2359,20240829T0001
1,2024-05-31,2024-06-11,1.63,1.65,-0.02,-1.2121,post-market,ORCL,20240610T2359,20240531T0001
2,2024-02-29,2024-03-11,1.41,1.38,0.03,2.1739,post-market,ORCL,20240310T2359,20240229T0001
3,2023-11-30,2023-12-11,1.34,1.32,0.02,1.5152,post-market,ORCL,20231210T2359,20231130T0001
4,2023-08-31,2023-09-11,1.19,1.15,0.04,3.4783,post-market,ORCL,20230910T2359,20230831T0001
5,2023-05-31,2023-06-12,1.67,1.58,0.09,5.6962,post-market,ORCL,20230611T2359,20230601T0001
6,2023-02-28,2023-03-09,1.22,1.2,0.02,1.6667,post-market,ORCL,20230308T2359,20230226T0001
7,2022-11-30,2022-12-12,1.21,1.18,0.03,2.5424,post-market,ORCL,20221211T2359,20221201T0001
8,2022-08-31,2022-09-12,1.03,1.07,-0.04,-3.7383,post-market,ORCL,20220911T2359,20220901T0001
9,2022-05-31,2022-06-13,1.54,1.37,0.17,12.4088,post-market,ORCL,20220612T2359,20220602T0001
0,2024-07-31,2024-08-28,2.56,2.36,0.2,8.4746,post-market,CRM,20240827T2359,20240817T0001
1,2024-04-30,2024-05-29,2.44,2.38,0.06,2.521,post-market,CRM,20240528T2359,20240518T0001
2,2024-01-31,2024-02-28,2.29,2.26,0.03,1.3274,post-market,CRM,20240227T2359,20240217T0001
3,2023-10-31,2023-11-29,2.11,2.06,0.05,2.4272,post-market,CRM,20231128T2359,20231118T0001
4,2023-07-31,2023-08-30,2.12,1.9,0.22,11.5789,post-market,CRM,20230829T2359,20230819T0001
5,2023-04-30,2023-05-31,1.69,1.61,0.08,4.9689,post-market,CRM,20230530T2359,20230520T0001
6,2023-01-31,2023-03-01,1.68,1.36,0.32,23.5294,post-market,CRM,20230228T2359,20230218T0001
7,2022-10-31,2022-11-30,1.4,1.21,0.19,15.7025,post-market,CRM,20221129T2359,20221119T0001
8,2022-07-31,2022-08-24,1.19,1.02,0.17,16.6667,post-market,CRM,20220823T2359,20220813T0001
9,2022-04-30,2022-05-31,0.98,0.94,0.04,4.2553,post-market,CRM,20220530T2359,20220520T0001
0,2024-06-30,2024-07-30,0.69,0.68,0.01,1.4706,post-market,AMD,20240729T2359,20240719T0001
1,2024-03-31,2024-04-30,0.62,0.61,0.01,1.6393,post-market,AMD,20240429T2359,20240419T0001
2,2023-12-31,2024-01-30,0.77,0.77,0,0,post-market,AMD,20240129T2359,20240119T0001
3,2023-09-30,2023-10-31,0.7,0.68,0.02,2.9412,post-market,AMD,20231030T2359,20231020T0001
4,2023-06-30,2023-08-01,0.58,0.57,0.01,1.7544,post-market,AMD,20230731T2359,20230721T0001
5,2023-03-31,2023-05-02,0.6,0.56,0.04,7.1429,post-market,AMD,20230501T2359,20230421T0001
6,2022-12-31,2023-01-31,0.69,0.67,0.02,2.9851,post-market,AMD,20230130T2359,20230120T0001
7,2022-09-30,2022-11-01,0.67,0.68,-0.01,-1.4706,post-market,AMD,20221031T2359,20221021T0001
8,2022-06-30,2022-08-02,1.05,1.03,0.02,1.9417,post-market,AMD,20220801T2359,20220722T0001
9,2022-03-31,2022-05-03,1.13,0.91,0.22,24.1758,post-market,AMD,20220502T2359,20220422T0001
0,2024-06-30,2024-08-06,0.47,0.31,0.16,51.6129,pre-market,UBER,20240805T2359,20240726T0001
1,2024-03-31,2024-05-08,-0.31,0.23,-0.54,-234.7826,pre-market,UBER,20240507T2359,20240427T0001
2,2023-12-31,2024-02-07,0.66,0.17,0.49,288.2353,pre-market,UBER,20240206T2359,20240127T0001
3,2023-09-30,2023-11-07,0.1,0.12,-0.02,-16.6667,pre-market,UBER,20231106T2359,20231027T0001
4,2023-06-30,2023-08-01,0.18,-0.01,0.19,1900,pre-market,UBER,20230731T2359,20230721T0001
5,2023-03-31,2023-05-02,-0.08,-0.09,0.01,11.1111,pre-market,UBER,20230501T2359,20230421T0001
6,2022-12-31,2023-02-08,0.29,-0.18,0.47,261.1111,pre-market,UBER,20230207T2359,20230128T0001
7,2022-09-30,2022-11-01,-0.61,-0.22,-0.39,-177.2727,pre-market,UBER,20221031T2359,20221021T0001
8,2022-06-30,2022-08-02,-1.33,-0.26,-1.07,-411.5385,pre-market,UBER,20220801T2359,20220722T0001
9,2022-03-31,2022-05-04,-0.18,-0.24,0.06,25,pre-market,UBER,20220503T2359,20220423T0001
0,2024-08-31,2024-09-12,4.65,4.53,0.12,2.649,post-market,ADBE,20240911T2359,20240901T0001
1,2024-05-31,2024-06-13,4.48,4.39,0.09,2.0501,post-market,ADBE,20240612T2359,20240602T0001
2,2024-02-29,2024-03-14,4.48,4.38,0.1,2.2831,post-market,ADBE,20240313T2359,20240303T0001
3,2023-11-30,2023-12-13,4.27,4.14,0.13,3.1401,post-market,ADBE,20231212T2359,20231202T0001
4,2023-08-31,2023-09-14,4.09,3.98,0.11,2.7638,post-market,ADBE,20230913T2359,20230903T0001
5,2023-05-31,2023-06-15,3.91,3.79,0.12,3.1662,post-market,ADBE,20230614T2359,20230604T0001
6,2023-02-28,2023-03-15,3.8,3.68,0.12,3.2609,post-market,ADBE,20230314T2359,20230304T0001
7,2022-11-30,2022-12-15,3.6,3.5,0.1,2.8571,post-market,ADBE,20221214T2359,20221204T0001
8,2022-08-31,2022-09-15,3.4,3.33,0.07,2.1021,pre-market,ADBE,20220914T2359,20220904T0001
9,2022-05-31,2022-06-16,3.35,3.31,0.04,1.2085,post-market,ADBE,20220615T2359,20220605T0001
0,2024-09-30,2024-10-23,None,2.23,None,None,post-market,IBM,20241022T2359,20241012T0001
1,2024-06-30,2024-07-24,2.43,2.2,0.23,10.4545,post-market,IBM,20240723T2359,20240713T0001
2,2024-03-31,2024-04-24,1.68,1.6,0.08,5,post-market,IBM,20240423T2359,20240413T0001
3,2023-12-31,2024-01-24,3.87,3.78,0.09,2.381,post-market,IBM,20240123T2359,20240113T0001
4,2023-09-30,2023-10-25,2.2,2.13,0.07,3.2864,post-market,IBM,20231024T2359,20231014T0001
5,2023-06-30,2023-07-19,2.18,2.01,0.17,8.4577,post-market,IBM,20230718T2359,20230708T0001
6,2023-03-31,2023-04-19,1.36,1.26,0.1,7.9365,post-market,IBM,20230418T2359,20230408T0001
7,2022-12-31,2023-01-25,3.6,3.6,0,0,post-market,IBM,20230124T2359,20230114T0001
8,2022-09-30,2022-10-19,1.81,1.77,0.04,2.2599,post-market,IBM,20221018T2359,20221008T0001
9,2022-06-30,2022-07-18,2.31,2.27,0.04,1.7621,post-market,IBM,20220717T2359,20220707T0001
0,2024-06-30,2024-07-31,2.33,2.25,0.08,3.5556,post-market,QCOM,20240730T2359,20240720T0001
1,2024-03-31,2024-05-01,2.44,2.32,0.12,5.1724,post-market,QCOM,20240430T2359,20240420T0001
2,2023-12-31,2024-01-31,2.75,2.37,0.38,16.0338,post-market,QCOM,20240130T2359,20240120T0001
3,2023-09-30,2023-11-01,2.02,1.91,0.11,5.7592,post-market,QCOM,20231031T2359,20231021T0001
4,2023-06-30,2023-08-02,1.87,1.81,0.06,3.3149,post-market,QCOM,20230801T2359,20230722T0001
5,2023-03-31,2023-05-03,2.15,2.15,0,0,post-market,QCOM,20230502T2359,20230422T0001
6,2022-12-31,2023-02-02,2.37,2.34,0.03,1.2821,post-market,QCOM,20230201T2359,20230122T0001
7,2022-09-30,2022-11-02,3.13,3.13,0,0,post-market,QCOM,20221101T2359,20221022T0001
8,2022-06-30,2022-07-27,2.96,2.87,0.09,3.1359,post-market,QCOM,20220726T2359,20220716T0001
9,2022-03-31,2022-04-27,3.21,2.91,0.3,10.3093,post-market,QCOM,20220426T2359,20220416T0001
0,2024-06-30,2024-08-05,0.09,0.08,0.01,12.5,post-market,PLTR,20240804T2359,20240725T0001
1,2024-03-31,2024-05-06,0.08,0.08,0,0,post-market,PLTR,20240505T2359,20240425T0001
2,2023-12-31,2024-02-05,0.08,0.08,0,0,post-market,PLTR,20240204T2359,20240125T0001
3,2023-09-30,2023-11-02,0.07,0.06,0.01,16.6667,pre-market,PLTR,20231101T2359,20231022T0001
4,2023-06-30,2023-08-07,0.05,0.05,0,0,post-market,PLTR,20230806T2359,20230727T0001
5,2023-03-31,2023-05-08,0.05,0.04,0.01,25,post-market,PLTR,20230507T2359,20230427T0001
6,2022-12-31,2023-02-13,0.04,0.03,0.01,33.3333,post-market,PLTR,20230212T2359,20230202T0001
7,2022-09-30,2022-11-07,0.01,0.02,-0.01,-50,pre-market,PLTR,20221106T2359,20221027T0001
8,2022-06-30,2022-08-08,-0.01,0.03,-0.04,-133.3333,pre-market,PLTR,20220807T2359,20220728T0001
9,2022-03-31,2022-05-09,0.02,0.04,-0.02,-50,pre-market,PLTR,20220508T2359,20220428T0001
0,2024-08-31,2024-09-25,1.18,1.14,0.04,3.5088,pre-market,MU,20240924T2359,20240914T0001
1,2024-05-31,2024-06-26,0.62,0.51,0.11,21.5686,post-market,MU,20240625T2359,20240615T0001
2,2024-02-29,2024-03-20,0.42,-0.25,0.67,268,post-market,MU,20240319T2359,20240309T0001
3,2023-11-30,2023-12-20,-0.95,-0.97,0.02,2.0619,post-market,MU,20231219T2359,20231209T0001
4,2023-08-31,2023-09-27,-1.07,-1.18,0.11,9.322,post-market,MU,20230926T2359,20230916T0001
5,2023-05-31,2023-06-28,-1.43,-1.58,0.15,9.4937,post-market,MU,20230627T2359,20230617T0001
6,2023-02-28,2023-03-28,-1.91,-0.86,-1.05,-122.093,post-market,MU,20230327T2359,20230317T0001
7,2022-11-30,2022-12-21,-0.04,-0.01,-0.03,-300,post-market,MU,20221220T2359,20221210T0001
8,2022-08-31,2022-09-29,1.45,1.3,0.15,11.5385,post-market,MU,20220928T2359,20220918T0001
9,2022-05-31,2022-06-30,2.59,2.43,0.16,6.5844,post-market,MU,20220629T2359,20220619T0001
0,2024-06-30,2024-07-30,2.1,1.95,0.15,7.6923,post-market,ANET,20240729T2359,20240719T0001
1,2024-03-31,2024-05-07,1.99,1.74,0.25,14.3678,post-market,ANET,20240506T2359,20240426T0001
2,2023-12-31,2024-02-12,2.08,1.7,0.38,22.3529,post-market,ANET,20240211T2359,20240201T0001
3,2023-09-30,2023-10-30,1.83,1.58,0.25,15.8228,post-market,ANET,20231029T2359,20231019T0001
4,2023-06-30,2023-07-31,1.58,1.44,0.14,9.7222,post-market,ANET,20230730T2359,20230720T0001
5,2023-03-31,2023-05-01,1.43,1.34,0.09,6.7164,post-market,ANET,20230430T2359,20230420T0001
6,2022-12-31,2023-02-13,1.41,1.21,0.2,16.5289,post-market,ANET,20230212T2359,20230202T0001
7,2022-09-30,2022-10-31,1.25,1.04,0.21,20.1923,post-market,ANET,20221030T2359,20221020T0001
